,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
112,Collards,1 cup,150.0,51.0,5.0,0.0,0.0,2.0,8.0,Vegetables A-E
113,Corn,1 ear,100.0,92.0,3.0,1.0,0.0,0.8,21.0,Vegetables A-E
114,cooked or canned,1 cup,200.0,170.0,5.0,0.0,0.0,1.6,41.0,Vegetables A-E
115,Cucumbers,8,50.0,6.0,0.0,0.0,0.0,0.2,1.0,Vegetables A-E
116,Dandelion greens,1 cup,180.0,80.0,5.0,1.0,0.0,3.2,16.0,Vegetables A-E
117,Eggplant,1 cup,180.0,30.0,2.0,0.0,0.0,1.0,9.0,Vegetables A-E
118,Endive,2 oz.,57.0,10.0,1.0,0.0,0.0,0.6,2.0,Vegetables A-E
119,Kale,1 cup,110.0,45.0,4.0,1.0,0.0,0.9,8.0,Vegetables F-P
120,Kohlrabi,1 cup,140.0,40.0,2.0,0.0,0.0,1.5,9.0,Vegetables F-P
121,"Lambs quarters, steamed",1 cup,150.0,48.0,5.0,0.0,0.0,3.2,7.0,Vegetables F-P
122,Lentils,1 cup,200.0,212.0,15.0,0.0,0.0,2.4,38.0,Vegetables F-P
123,Lettuce,1/4 head,100.0,14.0,1.0,0.0,0.0,0.5,2.0,Vegetables F-P
124,Iceberg,1/4 head,100.0,13.0,0.0,0.0,0.0,0.5,3.0,Vegetables F-P
125,Mushrooms canned,4,120.0,12.0,2.0,0.0,0.0,0.0,4.0,Vegetables F-P
126,Mustard greens,1,140.0,30.0,3.0,0.0,0.0,1.2,6.0,Vegetables F-P
127,Okra,1 1/3 cups,100.0,32.0,1.0,0.0,0.0,1.0,7.0,Vegetables F-P
128,Onions,1,210.0,80.0,2.0,0.0,0.0,1.6,18.0,Vegetables F-P
129,"Raw, green",6 small,50.0,22.0,0.0,0.0,0.0,1.0,5.0,Vegetables F-P
130,Parsley,2 T.,50.0,2.0,0.0,0.0,0.0,0.0,0.0,Vegetables F-P
131,Parsnips,1 cup,155.0,95.0,2.0,1.0,0.0,3.0,22.0,Vegetables F-P
132,Peas,1 cup,100.0,66.0,3.0,0.0,0.0,0.1,13.0,Vegetables F-P
133,"Fresh, steamed peas",1 cup,100.0,70.0,5.0,0.0,0.0,2.2,12.0,Vegetables R-Z
134,Frozen peas,1 cup,100.0,0.0,5.0,0.0,0.0,1.8,12.0,Vegetables R-Z
135,Split cooked peas,4 cups,100.0,115.0,8.0,0.0,0.0,0.4,21.0,Vegetables R-Z
136,heated peas,1 cup,100.0,53.0,3.0,0.0,0.0,1.0,10.0,Vegetables R-Z
137,Peppers canned,1 pod,38.0,10.0,0.0,0.0,0.0,0.0,2.0,Vegetables R-Z
138,"Peppers Raw, green, sweet",1 large,100.0,25.0,1.0,0.0,0.0,1.4,6.0,Vegetables R-Z
139,Peppers with beef and crumbs,1 med.,150.0,255.0,19.0,9.0,8.0,1.0,24.0,Vegetables R-Z
140,"Potatoes, baked",1 med.,100.0,100.0,2.0,0.0,0.0,0.5,22.0,Vegetables R-Z
141,French-fried,10 pieces,60.0,155.0,-1.0,7.0,3.0,0.4,20.0,Vegetables R-Z
142,Potatoes Mashed with milk and butter,1 cup,200.0,230.0,4.0,12.0,11.0,0.7,28.0,Vegetables R-Z
143,"Potatoes, pan-tried",3/4 cup,100.0,268.0,4.0,14.0,6.0,0.4,33.0,Vegetables R-Z
144,Scalloped with cheese potatoes,3/4 cup,100.0,145.0,6.0,8.0,7.0,0.4,14.0,Vegetables R-Z
145,Steamed potatoes before peeling,1 med.,100.0,80.0,2.0,0.0,0.0,0.4,19.0,Vegetables R-Z
146,Potato chips,10,20.0,110.0,1.0,7.0,4.0,0.0,10.0,Vegetables R-Z
147,Radishes,5 small,50.0,10.0,0.0,0.0,0.0,0.3,2.0,Vegetables R-Z
148,Rutabagas,4 cups,100.0,32.0,0.0,0.0,0.0,1.4,8.0,Vegetables R-Z
149,Soybeans,1 cup,200.0,260.0,22.0,11.0,0.0,3.2,20.0,Vegetables R-Z
150,Spinach,1 cup,100.0,26.0,3.0,0.0,0.0,1.0,3.0,Vegetables R-Z
151,Squash,1 cup,210.0,35.0,1.0,0.0,0.0,0.6,8.0,Vegetables R-Z
152,"Winter, mashed",1 cup,200.0,95.0,4.0,0.0,0.0,2.6,23.0,Vegetables R-Z
153,Sweet potatoes,1 med.,110.0,155.0,2.0,1.0,0.0,1.0,36.0,Vegetables R-Z
154,Candied,1 med.,175.0,235.0,2.0,6.0,5.0,1.5,80.0,Vegetables R-Z
155,Tomatoes,1 cup,240.0,50.0,2.0,0.0,0.0,1.0,9.0,Vegetables R-Z
156,"Raw, 2 by 2 1/2",1 med.,150.0,30.0,1.0,0.0,0.0,0.6,6.0,Vegetables R-Z
157,Tomato juice,1 cup,240.0,50.0,2.0,0.0,0.0,0.6,10.0,Vegetables R-Z
158,Tomato catsup,1 T.,17.0,15.0,0.0,0.0,0.0,0.0,4.0,Vegetables R-Z
159,Turnip greens,1 cup,145.0,45.0,4.0,1.0,0.0,1.8,8.0,Vegetables R-Z
160,"Turnips, steamed",1 cup,155.0,40.0,1.0,0.0,0.0,1.8,9.0,Vegetables R-Z
161,"Watercress stems, raw",1 cup,50.0,9.0,1.0,0.0,0.0,0.3,1.0,Fruits A-F
162,Apple juice canned,1 cup,250.0,125.0,0.0,0.0,0.0,0.0,34.0,Fruits A-F
163,Apple vinegar,1/3 cup,100.0,14.0,0.0,0.0,0.0,0.0,3.0,Fruits A-F
164,"Apples, raw",1 med,130.0,70.0,0.0,0.0,0.0,1.0,18.0,Fruits A-F
165,Stewed or canned,1 cup,240.0,100.0,0.0,0.0,0.0,2.0,26.0,Fruits A-F
166,Apricots,1 cup,250.0,220.0,2.0,0.0,0.0,1.0,57.0,Fruits A-F
167,"Dried, uncooked",1/2 cup,75.0,220.0,4.0,0.0,0.0,1.0,50.0,Fruits A-F
168,Fresh,3 med.,114.0,55.0,1.0,0.0,0.0,0.7,14.0,Fruits A-F
169,"Nectar, or juice",1 cup,250.0,140.0,1.0,0.0,0.0,2.0,36.0,Fruits A-F
170,Avocado,1/2 large,108.0,185.0,2.0,18.0,12.0,1.8,6.0,Fruits A-F
171,Banana,1 med.,150.0,85.0,1.0,0.0,0.0,0.9,23.0,Fruits A-F
172,Blackberries,1 cup,144.0,85.0,2.0,1.0,0.0,6.6,19.0,Fruits A-F
173,Blueberries,1 cup,250.0,245.0,1.0,0.0,0.0,2.0,65.0,Fruits A-F
174,Cantaloupe,1/2 med.,380.0,40.0,1.0,0.0,0.0,2.2,9.0,Fruits A-F
175,Cherries,1 cup,257.0,100.0,2.0,1.0,0.0,2.0,26.0,Fruits A-F
176,"Fresh, raw",1 cup,114.0,65.0,1.0,0.0,0.0,0.8,15.0,Fruits A-F
177,Cranberry sauce sweetened,1 cup,277.0,530.0,0.0,0.0,0.0,1.2,142.0,Fruits A-F
178,Dates,1 cup,178.0,505.0,4.0,0.0,0.0,3.6,134.0,Fruits A-F
179,Figs,2,42.0,120.0,2.0,0.0,0.0,1.9,30.0,Fruits A-F
180,"Fresh, raw figs",3 med.,114.0,90.0,2.0,0.0,0.0,1.0,22.0,Fruits A-F
181,figs Canned with syrup ,3,115.0,130.0,1.0,0.0,0.0,1.0,32.0,Fruits A-F
182,"Fruit cocktail, canned",1 cup,256.0,195.0,1.0,0.0,0.0,0.5,50.0,Fruits A-F
183,Grapefruit sections,1 cup,250.0,170.0,1.0,0.0,0.0,0.5,44.0,Fruits G-P
184,"Grapefruit, fresh, 5"" diameter",1/2,285.0,50.0,1.0,0.0,0.0,1.0,14.0,Fruits G-P
185,Grapefruit juice,1 cup,250.0,100.0,1.0,0.0,0.0,1.0,24.0,Fruits G-P
186,Grapes,1 cup,153.0,70.0,1.0,0.0,0.0,0.8,16.0,Fruits G-P
187,"European, as Muscat, Tokay",1 cup,160.0,100.0,1.0,0.0,0.0,0.7,26.0,Fruits G-P
188,Grape juice,1 cup,250.0,160.0,1.0,0.0,0.0,0.0,42.0,Fruits G-P
189,Lemon juice,1/2 cup,125.0,30.0,0.0,0.0,0.0,0.0,10.0,Fruits G-P
190,Lemonade concentratefrozen,6-oz. can,220.0,430.0,0.0,0.0,0.0,0.0,112.0,Fruits G-P
191,Limeade concentrate frozen,6-oz. can,218.0,405.0,0.0,0.0,0.0,0.0,108.0,Fruits G-P
192,Olives large,10,65.0,72.0,1.0,10.0,9.0,0.8,3.0,Fruits G-P
193,OlivesRipe,10,65.0,105.0,1.0,13.0,12.0,1.0,1.0,Fruits G-P
194,"Oranges 3"" diameter",1 med.,180.0,60.0,2.0,0.0,0.0,1.0,16.0,Fruits G-P
195,Orange juice,8 oz. or,250.0,112.0,2.0,0.0,0.0,0.2,25.0,Fruits G-P
196,Frozen ,6-oz. can,210.0,330.0,2.0,0.0,0.0,0.4,78.0,Fruits G-P
197,Papaya,1/2 med.,200.0,75.0,1.0,0.0,0.0,1.8,18.0,Fruits G-P
198,Peaches,1 cup,257.0,200.0,1.0,0.0,0.0,1.0,52.0,Fruits G-P
199,"Fresh, raw",1 med.,114.0,35.0,1.0,0.0,0.0,0.6,10.0,Fruits G-P
200,Pears,1 cup,255.0,195.0,1.0,0.0,0.0,2.0,50.0,Fruits G-P
201,"Raw, 3 by 2V",1 med.,182.0,100.0,1.0,1.0,0.0,2.0,25.0,Fruits G-P
202,Persimmons,1 med.,125.0,75.0,1.0,0.0,0.0,2.0,20.0,Fruits G-P
203,Pineapple,1 large slice,122.0,95.0,0.0,0.0,0.0,0.4,26.0,Fruits G-P
204,Pineapple Crushed,1 cup,260.0,205.0,1.0,0.0,0.0,0.7,55.0,Fruits G-P
205,"Raw, diced",1 cup,140.0,75.0,1.0,0.0,0.0,0.6,19.0,Fruits G-P
206,Pineapple juice,1 cup,250.0,120.0,1.0,0.0,0.0,0.2,32.0,Fruits G-P
207,Plums,1 cup,256.0,185.0,1.0,0.0,0.0,0.7,50.0,Fruits G-P
208,"Raw, 2"" diameter",1,60.0,30.0,0.0,0.0,0.0,0.2,7.0,Fruits G-P
209,Prunes,1 cup,270.0,300.0,3.0,1.0,0.0,0.8,81.0,Fruits G-P
210,Prune juice,1 cup,240.0,170.0,1.0,0.0,0.0,0.7,45.0,Fruits G-P
211,Raisins,1/2 cup,88.0,230.0,2.0,0.0,0.0,0.7,82.0,Fruits R-Z
212,Raspberries,1/2 cup,100.0,100.0,0.0,0.0,0.0,2.0,25.0,Fruits R-Z
213,"Raw, red",3/4 cup,100.0,57.0,0.0,0.0,0.0,5.0,14.0,Fruits R-Z
214,Rhubarb sweetened,1 cup,270.0,385.0,1.0,0.0,0.0,1.9,98.0,Fruits R-Z
215,Strawberries,1 cup,227.0,242.0,1.0,0.0,0.0,1.3,60.0,Fruits R-Z
216,Raw,1 cup,149.0,54.0,0.0,0.0,0.0,1.9,12.0,Fruits R-Z
217,Tangerines,I med.,114.0,40.0,1.0,0.0,0.0,1.0,10.0,Fruits R-Z
218,Watermelon,1 wedge,925.0,120.0,2.0,1.0,0.0,3.6,29.0,Fruits R-Z
219,Biscuits,1,38.0,130.0,3.0,4.0,3.0,0.0,18.0,"Breads, cereals, fastfood,grains"
220,Bran flakes,1 cup,25.0,117.0,3.0,0.0,0.0,0.1,32.0,"Breads, cereals, fastfood,grains"
221,"Bread, cracked wheat",1 slice,23.0,60.0,2.0,1.0,1.0,0.1,12.0,"Breads, cereals, fastfood,grains"
222,Rye,1 slice,23.0,55.0,2.0,1.0,1.0,0.1,12.0,"Breads, cereals, fastfood,grains"
223,"White, 20 slices, or",1-lb. loaf,454.0,1.225,39.0,15.0,12.0,9.0,229.0,"Breads, cereals, fastfood,grains"
224,Whole-wheat,1-lb. loaf,454.0,1.1,48.0,14.0,10.0,67.5,216.0,"Breads, cereals, fastfood,grains"
225,Whole-wheat,1 slice,23.0,55.0,2.0,1.0,0.0,0.31,11.0,"Breads, cereals, fastfood,grains"
226,Corn bread ground meal,1 serving,50.0,100.0,3.0,4.0,2.0,0.3,15.0,"Breads, cereals, fastfood,grains"
227,Cornflakes,1 cup,25.0,110.0,2.0,0.0,0.0,0.1,25.0,"Breads, cereals, fastfood,grains"
228,Corn grits cooked,1 cup,242.0,120.0,8.0,0.0,0.0,0.2,27.0,"Breads, cereals, fastfood,grains"
229,Corn meal,1 cup,118.0,360.0,9.0,4.0,2.0,1.6,74.0,"Breads, cereals, fastfood,grains"
230,Crackers,2 med.,14.0,55.0,1.0,1.0,0.0,0.0,10.0,"Breads, cereals, fastfood,grains"
231,"Soda, 2 1/2 square",2,11.0,45.0,1.0,1.0,0.0,0.0,8.0,"Breads, cereals, fastfood,grains"
232,Farina,1 cup,238.0,105.0,3.0,0.0,0.0,8.0,22.0,"Breads, cereals, fastfood,grains"
233,Flour,1 cup,110.0,460.0,39.0,22.0,0.0,2.9,33.0,"Breads, cereals, fastfood,grains"
234,Wheat (all purpose),1 cup,110.0,400.0,12.0,1.0,0.0,0.3,84.0,"Breads, cereals, fastfood,grains"
235,Wheat (whole),1 cup,120.0,390.0,13.0,2.0,0.0,2.8,79.0,"Breads, cereals, fastfood,grains"
236,Macaroni,1 cup,140.0,155.0,5.0,1.0,0.0,0.1,32.0,"Breads, cereals, fastfood,grains"
237,Baked with cheese,1 cup,220.0,475.0,18.0,25.0,24.0,0.0,44.0,"Breads, cereals, fastfood,grains"
238,Muffins,1,48.0,135.0,4.0,5.0,4.0,0.0,19.0,"Breads, cereals, fastfood,grains"
239,Noodles,1 cup,160.0,200.0,7.0,2.0,2.0,0.1,37.0,"Breads, cereals, fastfood,grains"
240,Oatmeal,1 cup,236.0,150.0,5.0,3.0,2.0,4.6,26.0,"Breads, cereals, fastfood,grains"
241,"Pancakes 4"" diam.",4,108.0,250.0,7.0,9.0,0.0,0.1,28.0,"Breads, cereals, fastfood,grains"
242,"Wheat, pancakes 4"" diam.",4,108.0,250.0,7.0,9.0,0.0,0.1,28.0,"Breads, cereals, fastfood,grains"
243,"Pizza 14"" diam.",1 section,75.0,180.0,8.0,6.0,5.0,0.0,23.0,"Breads, cereals, fastfood,grains"
244,Popcorn salted,2 cups,28.0,152.0,3.0,7.0,2.0,0.5,20.0,"Breads, cereals, fastfood,grains"
245,Puffed rice,1 cup,14.0,55.0,0.0,0.0,0.0,0.0,12.0,"Breads, cereals, fastfood,grains"
246,Puffed wheat presweetened,1 cup,28.0,105.0,1.0,0.0,0.0,0.6,26.0,"Breads, cereals, fastfood,grains"
247,Rice,1 cup,208.0,748.0,15.0,3.0,0.0,1.2,154.0,"Breads, cereals, fastfood,grains"
248,Converted,1 cup,187.0,677.0,14.0,0.0,0.0,0.4,142.0,"Breads, cereals, fastfood,grains"
249,White,1 cup,191.0,692.0,14.0,0.0,0.0,0.3,150.0,"Breads, cereals, fastfood,grains"
250,Rice flakes,1 cup,30.0,115.0,2.0,0.0,0.0,0.1,26.0,"Breads, cereals, fastfood,grains"
251,Rice polish,1/2 cup,50.0,132.0,6.0,6.0,0.0,1.2,28.0,"Breads, cereals, fastfood,grains"
252,Rolls,1 large,50.0,411.0,3.0,12.0,11.0,0.1,23.0,"Breads, cereals, fastfood,grains"
253,of refined flour,1,38.0,115.0,3.0,2.0,2.0,0.0,20.0,"Breads, cereals, fastfood,grains"
254,whole-wheat,1,40.0,102.0,4.0,1.0,0.0,0.1,20.0,"Breads, cereals, fastfood,grains"
255,Spaghetti with meat sauce,1 cup,250.0,285.0,13.0,10.0,6.0,0.5,35.0,"Breads, cereals, fastfood,grains"
256,with tomatoes and cheese,1 cup,250.0,210.0,6.0,5.0,3.0,0.5,36.0,"Breads, cereals, fastfood,grains"
257,Spanish rice,1 cup,250.0,217.0,4.0,4.0,0.0,1.2,40.0,"Breads, cereals, fastfood,grains"
258,Shredded wheat biscuit,1,28.0,100.0,3.0,1.0,0.0,0.7,23.0,"Breads, cereals, fastfood,grains"
